iter	Logloss
0	0.6407392171
1	0.5935217285
2	0.5484342855
3	0.524820109
4	0.4953103434
5	0.4754327799
6	0.4562791748
7	0.446160319
8	0.4349175212
9	0.424566569
10	0.4162015788
11	0.4072689209
12	0.4018387858
13	0.3957740072
14	0.3921526693
15	0.3888426107
16	0.3849488932
17	0.3817368164
18	0.3797675781
19	0.3769782715
20	0.3745056966
21	0.3724798991
22	0.3698509928
23	0.3682078857
24	0.3665337321
25	0.3649881185
26	0.3632332357
27	0.3618133952
28	0.360574707
29	0.359836792
30	0.3594661458
31	0.3575985514
32	0.35675
33	0.3558405355
34	0.3549887695
35	0.3537036947
36	0.3527403158
37	0.35231132
38	0.3511588542
39	0.3504301758
40	0.349330485
41	0.3481953125
42	0.3476968587
43	0.347258138
44	0.3467897135
45	0.3463302816
46	0.3460444336
47	0.3455419922
48	0.3448887533
49	0.3442422689
50	0.343356486
51	0.3430143229
52	0.3422774658
53	0.3421086426
54	0.3415889486
55	0.3410584717
56	0.3406574707
57	0.3402666829
58	0.3400655518
59	0.3391958008
60	0.338645752
61	0.3383351644
62	0.3380239258
63	0.3376598714
64	0.3374280396
65	0.3371908366
66	0.336995931
67	0.3366804199
68	0.3364211019
69	0.3361769613
70	0.3359748535
71	0.335825236
72	0.335135376
73	0.3346801758
74	0.334512675
75	0.3342626343
76	0.3340597331
77	0.3338211466
78	0.333665446
79	0.3333776042
80	0.3331171875
81	0.3329432373
82	0.3327992757
83	0.3324484253
84	0.3322808228
85	0.3319472046
86	0.3317770996
87	0.3315280355
88	0.3308865356
89	0.3307622884
90	0.3305978597
91	0.3302878011
92	0.3301473796
93	0.3300102539
94	0.3294308879
95	0.329188151
96	0.3290207316
97	0.3288857015
98	0.3286804403
99	0.3283991292
100	0.3281710002
101	0.3279616699
102	0.3274213867
103	0.3272657471
104	0.3270496419
105	0.326863383
106	0.3266547445
107	0.3264254354
108	0.326265564
109	0.3260846354
110	0.3259196777
111	0.3253118693
112	0.3251622314
113	0.3247597249
114	0.3245108643
115	0.3243504842
116	0.3238275146
117	0.3236334432
118	0.323452596
119	0.3232467041
120	0.3231252238
121	0.3228950195
122	0.3227578532
123	0.3225815023
124	0.3223423665
125	0.3220505371
126	0.3219023437
127	0.3216174723
128	0.3213959147
129	0.3211645508
130	0.3208651123
131	0.3205738118
132	0.3204030355
133	0.3201506348
134	0.3200003052
135	0.3198443807
136	0.3197016602
137	0.3191123047
138	0.3189396769
139	0.3187807821
140	0.3185241496
141	0.3183462321
142	0.3180821737
143	0.3178911743
144	0.3177040202
145	0.3173652751
146	0.3172374674
147	0.317026652
148	0.3168707682
149	0.3166369019
150	0.3165180461
151	0.3163271891
152	0.3160876465
153	0.3159339193
154	0.3156771647
155	0.3155566406
156	0.3153044637
157	0.3150228882
158	0.3148445841
159	0.3147377116
160	0.3145929972
161	0.3143804525
162	0.3142489421
163	0.3141206665
164	0.313863383
165	0.3133836466
166	0.3131347249
167	0.3130309855
168	0.3129130249
169	0.3128013713
170	0.3125779012
171	0.312312439
172	0.3121427409
173	0.3119083252
174	0.3116836344
175	0.3113085531
176	0.3111447957
177	0.310926473
178	0.3108073527
179	0.3105950521
180	0.3104523112
181	0.3102857259
182	0.3100887451
